"GUMERCINDO ROMANINI";"PTB";"4664";"29.89";"ADAMANTINA"
"SERGIO GABRIEL SEIXAS";"PMDB";"3191";"20.45";"ADAMANTINA"
"ANTONIO ADAHIL DUARTE CYRINO";"PMDB";"1648";"10.56";"ADAMANTINA"
"FERNANDO CHAGAS FRAGA";"PDS";"1646";"10.55";"ADAMANTINA"
"BONIFACIO ROSSILIO FILHO";"PDS";"1378";"8.83";"ADAMANTINA"
"SIZINO MARTINS VIEIRA";"PMDB";"852";"5.46";"ADAMANTINA"
"SEBASTIAO DE ALMEIDA";"PDS";"398";"2.55";"ADAMANTINA"
"OCTAVIO ROMANINI";"PT";"292";"1.87";"ADAMANTINA"
"GUMERCINDO ROMANINI";"PTB";"4664";"29.89";"ADAMANTINA"
"SERGIO GABRIEL SEIXAS";"PMDB";"3191";"20.45";"ADAMANTINA"
"ANTONIO ADAHIL DUARTE CYRINO";"PMDB";"1648";"10.56";"ADAMANTINA"
"FERNANDO CHAGAS FRAGA";"PDS";"1646";"10.55";"ADAMANTINA"
"BONIFACIO ROSSILIO FILHO";"PDS";"1378";"8.83";"ADAMANTINA"
"SIZINO MARTINS VIEIRA";"PMDB";"852";"5.46";"ADAMANTINA"
"SEBASTIAO DE ALMEIDA";"PDS";"398";"2.55";"ADAMANTINA"
"OCTAVIO ROMANINI";"PT";"292";"1.87";"ADAMANTINA"
"ARCENDINO STUCHI";"PMDB";"589";"38.8";"ADOLFO"
"ENOS VIRGINIO DOS SANTOS";"PDS";"305";"20.09";"ADOLFO"
"JANDYR ALVES PENTEADO";"PDS";"280";"18.45";"ADOLFO"
"GAVINO CHESSA";"PMDB";"198";"13.04";"ADOLFO"
"OLIVIO MIOLI";"PMDB";"42";"2.77";"ADOLFO"
"ARCENDINO STUCHI";"PMDB";"589";"38.8";"ADOLFO"
"ENOS VIRGINIO DOS SANTOS";"PDS";"305";"20.09";"ADOLFO"
"JANDYR ALVES PENTEADO";"PDS";"280";"18.45";"ADOLFO"
"GAVINO CHESSA";"PMDB";"198";"13.04";"ADOLFO"
"OLIVIO MIOLI";"PMDB";"42";"2.77";"ADOLFO"
"SEBASTIAO BIAZZO";"PMDB";"2657";"34.98";"AGUAI"
"RAMIRO DEFENDE";"PDS";"1639";"21.58";"AGUAI"
"BENEDITO APARECIDO SORG RABELO";"PDS";"1009";"13.28";"AGUAI"
"ALAIR JOSE FERNANDES";"PMDB";"1006";"13.24";"AGUAI"
"JOSE MONTEAGUDO BARREIRA";"PT";"363";"4.78";"AGUAI"
"EXPEDITO CANDIDO FERREIRA";"PDS";"159";"2.09";"AGUAI"
"SEBASTIAO BIAZZO";"PMDB";"2657";"34.98";"AGUAI"
"RAMIRO DEFENDE";"PDS";"1639";"21.58";"AGUAI"
"BENEDITO APARECIDO SORG RABELO";"PDS";"1009";"13.28";"AGUAI"
"ALAIR JOSE FERNANDES";"PMDB";"1006";"13.24";"AGUAI"
"JOSE MONTEAGUDO BARREIRA";"PT";"363";"4.78";"AGUAI"
"EXPEDITO CANDIDO FERREIRA";"PDS";"159";"2.09";"AGUAI"
"EDJALMA DE LIMA VALA";"PMDB";"1134";"35.21";"AGUAS DA PRATA"
"JOSUE GRESPAN";"PMDB";"477";"14.81";"AGUAS DA PRATA"
"PAULO ROBERTO DEZENA";"PDS";"466";"14.47";"AGUAS DA PRATA"
"MANOEL DA SILVA FERREIRA";"PDS";"352";"10.93";"AGUAS DA PRATA"
"MANOEL CLINEU DE ANDRADE JUNQUEIRA";"PDS";"257";"7.98";"AGUAS DA PRATA"
"JOAO DIRCEU BENEVIDES DE CARVALHO";"PMDB";"243";"7.54";"AGUAS DA PRATA"
"EDJALMA DE LIMA VALA";"PMDB";"1134";"35.21";"AGUAS DA PRATA"
"JOSUE GRESPAN";"PMDB";"477";"14.81";"AGUAS DA PRATA"
"PAULO ROBERTO DEZENA";"PDS";"466";"14.47";"AGUAS DA PRATA"
"MANOEL DA SILVA FERREIRA";"PDS";"352";"10.93";"AGUAS DA PRATA"
"MANOEL CLINEU DE ANDRADE JUNQUEIRA";"PDS";"257";"7.98";"AGUAS DA PRATA"
"JOAO DIRCEU BENEVIDES DE CARVALHO";"PMDB";"243";"7.54";"AGUAS DA PRATA"
"MARTINHO ANTONIO MARIANO";"PMDB";"1441";"30.75";"AGUAS DE LINDOIA"
"JOSE IVAN GODOY TORTELLI";"PDS";"1037";"22.13";"AGUAS DE LINDOIA"
"JOSE APARECIDO RAIMUNDO DE ALMEIDA";"PDS";"792";"16.9";"AGUAS DE LINDOIA"
"JOSE UBERTO RODRIGUES";"PMDB";"625";"13.34";"AGUAS DE LINDOIA"
"SEBASTIAO BERNARDINO FILHO";"PDS";"248";"5.29";"AGUAS DE LINDOIA"
"JOSE MARIO DIZERO RENZO";"PMDB";"201";"4.29";"AGUAS DE LINDOIA"
"MARTINHO ANTONIO MARIANO";"PMDB";"1441";"30.75";"AGUAS DE LINDOIA"
"JOSE IVAN GODOY TORTELLI";"PDS";"1037";"22.13";"AGUAS DE LINDOIA"
"JOSE APARECIDO RAIMUNDO DE ALMEIDA";"PDS";"792";"16.9";"AGUAS DE LINDOIA"
"JOSE UBERTO RODRIGUES";"PMDB";"625";"13.34";"AGUAS DE LINDOIA"
"SEBASTIAO BERNARDINO FILHO";"PDS";"248";"5.29";"AGUAS DE LINDOIA"
"JOSE MARIO DIZERO RENZO";"PMDB";"201";"4.29";"AGUAS DE LINDOIA"
"PAULO APARECIDO SILVERIO";"PDS";"1024";"46.61";"AGUAS DE SANTA BARBARA"
"JOSE MARIANO DA SILVA";"PMDB";"979";"44.56";"AGUAS DE SANTA BARBARA"
"ARISTIDES GARCIA";"PMDB";"106";"4.82";"AGUAS DE SANTA BARBARA"
"PAULO APARECIDO SILVERIO";"PDS";"1024";"46.61";"AGUAS DE SANTA BARBARA"
"JOSE MARIANO DA SILVA";"PMDB";"979";"44.56";"AGUAS DE SANTA BARBARA"
"ARISTIDES GARCIA";"PMDB";"106";"4.82";"AGUAS DE SANTA BARBARA"
"LEONARDO BELMIRO";"PDS";"377";"30.26";"AGUAS DE SAO PEDRO"
"SEBASTIAO ARA";"PDS";"298";"23.92";"AGUAS DE SAO PEDRO"
"LOURENCO SANTOS NETO";"PMDB";"293";"23.52";"AGUAS DE SAO PEDRO"
"BENEDITO ANTONIO ITIPAO";"PMDB";"114";"9.15";"AGUAS DE SAO PEDRO"
"THOMAZ AQUINO MACIEL NETO";"PMDB";"65";"5.22";"AGUAS DE SAO PEDRO"
"LEONARDO BELMIRO";"PDS";"377";"30.26";"AGUAS DE SAO PEDRO"
"SEBASTIAO ARA";"PDS";"298";"23.92";"AGUAS DE SAO PEDRO"
"LOURENCO SANTOS NETO";"PMDB";"293";"23.52";"AGUAS DE SAO PEDRO"
"BENEDITO ANTONIO ITIPAO";"PMDB";"114";"9.15";"AGUAS DE SAO PEDRO"
"THOMAZ AQUINO MACIEL NETO";"PMDB";"65";"5.22";"AGUAS DE SAO PEDRO"
"RUBENS APARECIDO BENAZZIO";"PTB";"3762";"34.99";"AGUDOS"
"ANTONIO CONDI";"PDS";"2023";"18.82";"AGUDOS"
"ANTONIO FERNANDO DAMANTE";"PDS";"1943";"18.07";"AGUDOS"
"LUIZ VALDEMIR TENDOLO";"PMDB";"804";"7.48";"AGUDOS"
"JOSE IGNACIO FERREIRA";"PTB";"584";"5.43";"AGUDOS"
"MARIA DE LURDES ALVES";"PT";"233";"2.17";"AGUDOS"
"HAMAD MITRI ANTONIOS SALEH";"PDS";"41";"0.38";"AGUDOS"
"RUBENS APARECIDO BENAZZIO";"PTB";"3762";"34.99";"AGUDOS"
"ANTONIO CONDI";"PDS";"2023";"18.82";"AGUDOS"
"ANTONIO FERNANDO DAMANTE";"PDS";"1943";"18.07";"AGUDOS"
"LUIZ VALDEMIR TENDOLO";"PMDB";"804";"7.48";"AGUDOS"
"JOSE IGNACIO FERREIRA";"PTB";"584";"5.43";"AGUDOS"
"MARIA DE LURDES ALVES";"PT";"233";"2.17";"AGUDOS"
"HAMAD MITRI ANTONIOS SALEH";"PDS";"41";"0.38";"AGUDOS"
"LUIZ ANTONIO ZAMPIERI";"PMDB";"1324";"48.86";"ALFREDO MARCONDES"
"JOSE SOARES DE OLIVEIRA";"PDS";"646";"23.84";"ALFREDO MARCONDES"
"GILTON HUMBERTO MORGAN AGUIAR";"PMDB";"493";"18.19";"ALFREDO MARCONDES"
"LUIZ ANTONIO ZAMPIERI";"PMDB";"1324";"48.86";"ALFREDO MARCONDES"
"JOSE SOARES DE OLIVEIRA";"PDS";"646";"23.84";"ALFREDO MARCONDES"
"GILTON HUMBERTO MORGAN AGUIAR";"PMDB";"493";"18.19";"ALFREDO MARCONDES"
"RUY RODRIGUES DE CASTRO";"PDS";"596";"47.95";"ALTAIR"
"NOBORU UEHARA";"PDS";"371";"29.85";"ALTAIR"
"URBANO FERREIRA DA SILVA";"PMDB";"136";"10.94";"ALTAIR"
"HICHEL AYDAR";"PMDB";"41";"3.3";"ALTAIR"
"RUY RODRIGUES DE CASTRO";"PDS";"596";"47.95";"ALTAIR"
"NOBORU UEHARA";"PDS";"371";"29.85";"ALTAIR"
"URBANO FERREIRA DA SILVA";"PMDB";"136";"10.94";"ALTAIR"
"HICHEL AYDAR";"PMDB";"41";"3.3";"ALTAIR"
"CELSO VICENTINI ZUCCOLOTTO";"PDS";"3060";"46.55";"ALTINOPOLIS"
"JOSE FRAGA PEREIRA DA SILVA";"PMDB";"1920";"29.21";"ALTINOPOLIS"
"IUSSEF MIGUEL IUN";"PMDB";"1084";"16.49";"ALTINOPOLIS"
"CELSO VICENTINI ZUCCOLOTTO";"PDS";"3060";"46.55";"ALTINOPOLIS"
"JOSE FRAGA PEREIRA DA SILVA";"PMDB";"1920";"29.21";"ALTINOPOLIS"
"IUSSEF MIGUEL IUN";"PMDB";"1084";"16.49";"ALTINOPOLIS"
"NELSON JESUS FERLIM";"PDS";"1088";"38.94";"ALTO ALEGRE"
"SUSSUMI IVAMA";"PMDB";"763";"27.31";"ALTO ALEGRE"
"PAULO ZAMBROZI";"PMDB";"554";"19.83";"ALTO ALEGRE"
"AFONSO DOS SANTOS VICENTINO FILHO";"PDS";"141";"5.05";"ALTO ALEGRE"
"DEVANIR RICIERI NARDO";"PDS";"100";"3.58";"ALTO ALEGRE"
"NELSON JESUS FERLIM";"PDS";"1088";"38.94";"ALTO ALEGRE"
"SUSSUMI IVAMA";"PMDB";"763";"27.31";"ALTO ALEGRE"
"PAULO ZAMBROZI";"PMDB";"554";"19.83";"ALTO ALEGRE"
"AFONSO DOS SANTOS VICENTINO FILHO";"PDS";"141";"5.05";"ALTO ALEGRE"
"DEVANIR RICIERI NARDO";"PDS";"100";"3.58";"ALTO ALEGRE"
"GENESIO PICOLO";"PMDB";"1670";"55.06";"ALVARES FLORENCE"
"JOAQUIM WAIDEMAN";"PDS";"1131";"37.29";"ALVARES FLORENCE"
"GENESIO PICOLO";"PMDB";"1670";"55.06";"ALVARES FLORENCE"
"JOAQUIM WAIDEMAN";"PDS";"1131";"37.29";"ALVARES FLORENCE"
"ANTONIO CASTILHO CERVANTES";"PMDB";"1916";"31.13";"ALVARES MACHADO"
"ELMO HENRIQUE GONCALVES MARTINS";"PDS";"1675";"27.22";"ALVARES MACHADO"
"DIRCEU MORAES";"PMDB";"1095";"17.79";"ALVARES MACHADO"
"JOSE DE ANDRADE TEIXEIRA";"PDS";"677";"11";"ALVARES MACHADO"
"KIOCHI TATIZAWA";"PMDB";"343";"5.57";"ALVARES MACHADO"
"JOSE CARLOS DO NASCIMENTO";"PT";"66";"1.07";"ALVARES MACHADO"
"ANTONIO CASTILHO CERVANTES";"PMDB";"1916";"31.13";"ALVARES MACHADO"
"ELMO HENRIQUE GONCALVES MARTINS";"PDS";"1675";"27.22";"ALVARES MACHADO"
"DIRCEU MORAES";"PMDB";"1095";"17.79";"ALVARES MACHADO"
"JOSE DE ANDRADE TEIXEIRA";"PDS";"677";"11";"ALVARES MACHADO"
"KIOCHI TATIZAWA";"PMDB";"343";"5.57";"ALVARES MACHADO"
"JOSE CARLOS DO NASCIMENTO";"PT";"66";"1.07";"ALVARES MACHADO"
"JOSE MENDES FILHO";"PDS";"571";"44.13";"ALVARO DE CARVALHO"
"JOAO RAMIRES PALHANO";"PTB";"263";"20.32";"ALVARO DE CARVALHO"
"JOSE BISPO VARJAO";"PDS";"180";"13.91";"ALVARO DE CARVALHO"
"ELIAS DE OLIVEIRA";"PMDB";"173";"13.37";"ALVARO DE CARVALHO"
"JOSE MENDES FILHO";"PDS";"571";"44.13";"ALVARO DE CARVALHO"
"JOAO RAMIRES PALHANO";"PTB";"263";"20.32";"ALVARO DE CARVALHO"
"JOSE BISPO VARJAO";"PDS";"180";"13.91";"ALVARO DE CARVALHO"
"ELIAS DE OLIVEIRA";"PMDB";"173";"13.37";"ALVARO DE CARVALHO"
"ALVINO DIAS";"PDS";"544";"43.94";"ALVINLANDIA"
"ARNALDINO THEODORO DE LIMA";"PDS";"465";"37.56";"ALVINLANDIA"
"JOSE RONDIVAL GUARIDO";"PMDB";"109";"8.8";"ALVINLANDIA"
"WALMIR MAGALHAES";"PTB";"44";"3.55";"ALVINLANDIA"
"ALVINO DIAS";"PDS";"544";"43.94";"ALVINLANDIA"
"ARNALDINO THEODORO DE LIMA";"PDS";"465";"37.56";"ALVINLANDIA"
"JOSE RONDIVAL GUARIDO";"PMDB";"109";"8.8";"ALVINLANDIA"
"WALMIR MAGALHAES";"PTB";"44";"3.55";"ALVINLANDIA"
"ABDUL HADDI OMAR NAJJAR";"PDS";"17478";"26.24";"AMERICANA"
"CARROL MENEGHEL";"PMDB";"11622";"17.45";"AMERICANA"
"FREDERICO POLO MULLER";"PMDB";"9295";"13.96";"AMERICANA"
"MARCO ANTONIO BIASI";"PMDB";"7589";"11.39";"AMERICANA"
"RAUL LEME BRISOLLA JUNIOR";"PT";"4875";"7.32";"AMERICANA"
"WILSON CAMARGO";"PT";"1764";"2.65";"AMERICANA"
"JAVERT GALASSI";"PT";"1598";"2.4";"AMERICANA"
"JOAO BATISTA BARBOSA";"PTB";"1589";"2.39";"AMERICANA"
"LUIZ EUCLIDES ROVINA";"PDS";"1026";"1.54";"AMERICANA"
"JAIRO DE AZEVEDO";"PTB";"1005";"1.51";"AMERICANA"
"GERALDO PINHANELLI";"PDS";"746";"1.12";"AMERICANA"
"ROBERTO DOLLO";"PDS";"731";"1.1";"AMERICANA"
"RUBENS ZAORAL";"PDT";"274";"0.41";"AMERICANA"
"ABDUL HADDI OMAR NAJJAR";"PDS";"17478";"26.24";"AMERICANA"
"CARROL MENEGHEL";"PMDB";"11622";"17.45";"AMERICANA"
"FREDERICO POLO MULLER";"PMDB";"9295";"13.96";"AMERICANA"
"MARCO ANTONIO BIASI";"PMDB";"7589";"11.39";"AMERICANA"
"RAUL LEME BRISOLLA JUNIOR";"PT";"4875";"7.32";"AMERICANA"
"WILSON CAMARGO";"PT";"1764";"2.65";"AMERICANA"
"JAVERT GALASSI";"PT";"1598";"2.4";"AMERICANA"
"JOAO BATISTA BARBOSA";"PTB";"1589";"2.39";"AMERICANA"
"LUIZ EUCLIDES ROVINA";"PDS";"1026";"1.54";"AMERICANA"
"JAIRO DE AZEVEDO";"PTB";"1005";"1.51";"AMERICANA"
"GERALDO PINHANELLI";"PDS";"746";"1.12";"AMERICANA"
"ROBERTO DOLLO";"PDS";"731";"1.1";"AMERICANA"
"RUBENS ZAORAL";"PDT";"274";"0.41";"AMERICANA"
"OCTAVIO DOTOLI";"PDS";"2630";"45.78";"AMERICO BRASILIENSE"
"TERCIO DELLA ROVERE";"PMDB";"2452";"42.68";"AMERICO BRASILIENSE"
"OCTAVIO DOTOLI";"PDS";"2630";"45.78";"AMERICO BRASILIENSE"
"TERCIO DELLA ROVERE";"PMDB";"2452";"42.68";"AMERICO BRASILIENSE"
"ESTEVAO ELIAS DAVID";"PMDB";"1804";"47.94";"AMERICO DE CAMPOS"
"MOACIR BRAGA";"PDS";"935";"24.85";"AMERICO DE CAMPOS"
"JOAO VENCESLAU DOS SANTOS";"PDS";"515";"13.69";"AMERICO DE CAMPOS"
"DAVID FERNANDES DA SILVA";"PMDB";"177";"4.7";"AMERICO DE CAMPOS"
"DEJAIR SECATO";"PDS";"147";"3.91";"AMERICO DE CAMPOS"
"ESTEVAO ELIAS DAVID";"PMDB";"1804";"47.94";"AMERICO DE CAMPOS"
"MOACIR BRAGA";"PDS";"935";"24.85";"AMERICO DE CAMPOS"
"JOAO VENCESLAU DOS SANTOS";"PDS";"515";"13.69";"AMERICO DE CAMPOS"
"DAVID FERNANDES DA SILVA";"PMDB";"177";"4.7";"AMERICO DE CAMPOS"
"DEJAIR SECATO";"PDS";"147";"3.91";"AMERICO DE CAMPOS"
"CARLOS PIFFER";"PDS";"7117";"36.72";"AMPARO"
"JOSE CARLOS DE OLIVEIRA";"PMDB";"6334";"32.68";"AMPARO"
"LAZARO JOSE DOMINGUES";"PTB";"2009";"10.37";"AMPARO"
"JOSE ANTONIO ROSSI";"PMDB";"1586";"8.18";"AMPARO"
"PAULO FRANCISCO BARBOSA";"PMDB";"251";"1.3";"AMPARO"
"RUBENS CELSO ROSASCO";"PDS";"183";"0.94";"AMPARO"
"EDMUNDO KIRMAYR";"PDS";"102";"0.53";"AMPARO"
"CARLOS PIFFER";"PDS";"7117";"36.72";"AMPARO"
"JOSE CARLOS DE OLIVEIRA";"PMDB";"6334";"32.68";"AMPARO"
"LAZARO JOSE DOMINGUES";"PTB";"2009";"10.37";"AMPARO"
"JOSE ANTONIO ROSSI";"PMDB";"1586";"8.18";"AMPARO"
"PAULO FRANCISCO BARBOSA";"PMDB";"251";"1.3";"AMPARO"
"RUBENS CELSO ROSASCO";"PDS";"183";"0.94";"AMPARO"
"EDMUNDO KIRMAYR";"PDS";"102";"0.53";"AMPARO"
"ANTONIA SODELLI GRABER";"PDS";"546";"46.27";"ANALANDIA"
"JOAO SEBASTIAO BERTOLETTI";"PDS";"429";"36.36";"ANALANDIA"
"JOSE ANGELO DE MATTOS";"PMDB";"90";"7.63";"ANALANDIA"
"IRINEU CAMARGO";"PMDB";"61";"5.17";"ANALANDIA"
"ANTONIA SODELLI GRABER";"PDS";"546";"46.27";"ANALANDIA"
"JOAO SEBASTIAO BERTOLETTI";"PDS";"429";"36.36";"ANALANDIA"
"JOSE ANGELO DE MATTOS";"PMDB";"90";"7.63";"ANALANDIA"
"IRINEU CAMARGO";"PMDB";"61";"5.17";"ANALANDIA"
"JOAO CARLOS CARREIRA";"PMDB";"9133";"39.46";"ANDRADINA"
"ROBERTO MIGUEL CURY";"PDS";"4080";"17.63";"ANDRADINA"
"PEDRO AYRES DE SOUZA";"PMDB";"2716";"11.73";"ANDRADINA"
"ANTONIO FRANCISCO FONZAR";"PDS";"1909";"8.25";"ANDRADINA"
"OSMAR SILVEIRA";"PDS";"1040";"4.49";"ANDRADINA"
"YNACIO AKIRA HIRATA";"PTB";"783";"3.38";"ANDRADINA"
"OSVALDO GASPARELLI";"PTB";"648";"2.8";"ANDRADINA"
"JOAO BORTOLANZA";"PT";"634";"2.74";"ANDRADINA"
"ARNALDO SILVA LEAO";"PTB";"506";"2.19";"ANDRADINA"
"JOAO CARLOS CARREIRA";"PMDB";"9133";"39.46";"ANDRADINA"
"ROBERTO MIGUEL CURY";"PDS";"4080";"17.63";"ANDRADINA"
"PEDRO AYRES DE SOUZA";"PMDB";"2716";"11.73";"ANDRADINA"
"ANTONIO FRANCISCO FONZAR";"PDS";"1909";"8.25";"ANDRADINA"
"OSMAR SILVEIRA";"PDS";"1040";"4.49";"ANDRADINA"
"YNACIO AKIRA HIRATA";"PTB";"783";"3.38";"ANDRADINA"
"OSVALDO GASPARELLI";"PTB";"648";"2.8";"ANDRADINA"
"JOAO BORTOLANZA";"PT";"634";"2.74";"ANDRADINA"
"ARNALDO SILVA LEAO";"PTB";"506";"2.19";"ANDRADINA"
"JOSE EMILIO CARLOS LISBOA";"PMDB";"3451";"48.11";"ANGATUBA"
"ENIL BORIS DE MORAIS FERREIRA";"PMDB";"1712";"23.87";"ANGATUBA"
"PAULO DE ALMEIDA LEME";"PMDB";"620";"8.64";"ANGATUBA"
"RUBENS VIEIRA DE MORAIS";"PDS";"540";"7.53";"ANGATUBA"
"BENEDITO HENRIQUE HERGESSEL";"PTB";"122";"1.7";"ANGATUBA"
"ALICE QUINTILIANO DE CAMARGO";"PDT";"35";"0.49";"ANGATUBA"
"JOSE EMILIO CARLOS LISBOA";"PMDB";"3451";"48.11";"ANGATUBA"
"ENIL BORIS DE MORAIS FERREIRA";"PMDB";"1712";"23.87";"ANGATUBA"
"PAULO DE ALMEIDA LEME";"PMDB";"620";"8.64";"ANGATUBA"
"RUBENS VIEIRA DE MORAIS";"PDS";"540";"7.53";"ANGATUBA"
"BENEDITO HENRIQUE HERGESSEL";"PTB";"122";"1.7";"ANGATUBA"
"ALICE QUINTILIANO DE CAMARGO";"PDT";"35";"0.49";"ANGATUBA"
"IRACY MARIO GUGLIEMO MEZZENA";"PDS";"707";"35.07";"ANHEMBI"
"ABRAO JACOB";"PDS";"386";"19.15";"ANHEMBI"
"PAULO JOSE CONCEICAO";"PMDB";"366";"18.15";"ANHEMBI"
"SERGIO FELIX DO PRADO";"PMDB";"293";"14.53";"ANHEMBI"
"BENEDITO DE QUADROS";"PDS";"103";"5.11";"ANHEMBI"
"IRACY MARIO GUGLIEMO MEZZENA";"PDS";"707";"35.07";"ANHEMBI"
"ABRAO JACOB";"PDS";"386";"19.15";"ANHEMBI"
"PAULO JOSE CONCEICAO";"PMDB";"366";"18.15";"ANHEMBI"
"SERGIO FELIX DO PRADO";"PMDB";"293";"14.53";"ANHEMBI"
"BENEDITO DE QUADROS";"PDS";"103";"5.11";"ANHEMBI"
"LUIZ ROCHEDO GARDIN";"PDS";"913";"58.94";"ANHUMAS"
"PAULO DELATORRE TETE";"PMDB";"464";"29.95";"ANHUMAS"
"LUIZ ROCHEDO GARDIN";"PDS";"913";"58.94";"ANHUMAS"
"PAULO DELATORRE TETE";"PMDB";"464";"29.95";"ANHUMAS"
"ARISTEU VIEIRA VILELA";"PMDB";"4521";"27.67";"APARECIDA"
"LUIZ RIBEIRO DE CASTILHO";"PDS";"3379";"20.68";"APARECIDA"
"MANOEL ALVES NUNES";"PMDB";"3226";"19.74";"APARECIDA"
"JOSE BENEDITO DE MORAES";"PDS";"1994";"12.2";"APARECIDA"
"JOSE NAGIB ASSIS";"PMDB";"848";"5.19";"APARECIDA"
"LUIZ ANTONIO DE MOURA";"PT";"568";"3.48";"APARECIDA"
"BENEDICTO LOURENCO BARBOSA";"PTB";"248";"1.52";"APARECIDA"
"JOSE BENEDITO DA SILVA";"PDT";"58";"0.35";"APARECIDA"
"FRANCISCA CONCEICAO BENTO";"PTB";"58";"0.35";"APARECIDA"
"ARISTEU VIEIRA VILELA";"PMDB";"4521";"27.67";"APARECIDA"
"LUIZ RIBEIRO DE CASTILHO";"PDS";"3379";"20.68";"APARECIDA"
"MANOEL ALVES NUNES";"PMDB";"3226";"19.74";"APARECIDA"
"JOSE BENEDITO DE MORAES";"PDS";"1994";"12.2";"APARECIDA"
"JOSE NAGIB ASSIS";"PMDB";"848";"5.19";"APARECIDA"
"LUIZ ANTONIO DE MOURA";"PT";"568";"3.48";"APARECIDA"
"BENEDICTO LOURENCO BARBOSA";"PTB";"248";"1.52";"APARECIDA"
"JOSE BENEDITO DA SILVA";"PDT";"58";"0.35";"APARECIDA"
"FRANCISCA CONCEICAO BENTO";"PTB";"58";"0.35";"APARECIDA"
"BENEDITO DE OLIVEIRA";"PMDB";"919";"30.7";"APARECIDA D'OESTE"
"VALDOMIRO ROSSI";"PDS";"884";"29.54";"APARECIDA D'OESTE"
"MARIO RODRIGUES DE SANTANA";"PDS";"664";"22.19";"APARECIDA D'OESTE"
"PEDRO BOAVENTURA PINTO";"PMDB";"366";"12.23";"APARECIDA D'OESTE"
"HILARIO BOLOGNIN";"PDS";"13";"0.43";"APARECIDA D'OESTE"
"BENEDITO DE OLIVEIRA";"PMDB";"919";"30.7";"APARECIDA D'OESTE"
"VALDOMIRO ROSSI";"PDS";"884";"29.54";"APARECIDA D'OESTE"
